Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Collection,Collection Per Capita Served,Total Operating Income,Wages & Salaries Expenditures
2012,New Canaan,Fairfield,P,2,19738,418600,21.2,15410,0.78,62765,3.2,497382,25.2,1061,27467,183029,9.3,2779256,1709141
2012,New Fairfield,Fairfield,P,43,13881,100983,7.3,8538,0.62,6344,0.5,141260,10.2,218,4130,52814,3.8,475797,392346
2012,New Hartford - Bakerville,Litchfield,P,74,,10400,1.5,1357,0.19,350,0.1,22838,3.3,46,310,15958,2.3,60876,28750
2012,New Hartford-Licia M.B.,Litchfield,P,74,6970,66000,9.5,6370,0.91,9203,1.3,89737,12.9,156,2777,61797,8.9,298413,158927
2012,New Haven,New Haven,P,168,129779,584729,4.5,42838,0.33,96012,0.7,318796,2.5,2156,44710,480956,3.7,3940242,2418526
2012,New London,New London,P,163,27620,161890,5.9,15065,0.55,13978,0.5,66408,2.4,640,6504,70245,2.5,716202,333492
2012,New Milford,Litchfield,P,63,28142,183355,6.5,10982,0.39,21913,0.8,285184,10.1,795,15415,105649,3.8,1080822,636460
2012,Newington - Lucy Welles,Hartford,P,104,30562,241079,7.9,12408,0.41,67591,2.2,404506,13.2,962,31859,162008,5.3,2347124,1334617
2012,Newtown - Cyr.Booth,Fairfield,P,36,27560,206447,7.5,20820,0.76,7156,0.3,258842,9.4,361,13920,121914,4.4,1228256,764299
2012,Norfolk,Litchfield,P,29,1709,36551,21.4,1700,0.99,2886,1.7,31070,18.2,312,9482,37803,22.1,379670,184386
2012,North Branford,New Haven,P,95,14407,54240,3.8,8036,0.56,7323,0.5,108270,7.5,410,10952,76914,5.3,623315,371727
2012,North Canaan - Douglas,Litchfield,P,126,3315,15500,4.7,977,0.29,550,0.2,22503,6.8,183,1920,20007,6,131952,68018
2012,North Haven,New Haven,P,52,24093,69160,2.9,11134,0.46,12938,0.5,180758,7.5,384,6674,107073,4.4,935796,628237
2012,North Stonington-Wheeler,New London,P,72,5297,62478,11.8,2710,0.51,5499,1,52513,9.9,199,10250,23061,4.4,121631,71500
2012,Norwalk,Fairfield,N,35,85603,409503,4.8,28499,0.33,80214,0.9,680278,7.9,1170,27590,250645,2.9,3485469,2297931
2012,Norwalk - Rowayton,Fairfield,P,35,,38000,0.4,4700,0.05,1000,0,62342,0.7,483,13167,31650,0.4,280110,169449
2012,Norwich - Otis,New London,P,156,40493,157300,3.9,36200,0.89,8122,0.2,149486,3.7,569,12388,72452,1.8,1202654,717672
2012,Old Lyme - Phoebe,New London,P,16,7603,48000,6.3,6890,0.91,2437,0.3,74335,9.8,340,5217,45757,6,624230,334991
2012,Old Saybrook - Acton,Middlesex,P,27,10242,125939,12.3,5933,0.58,5828,0.6,152688,14.9,345,7471,64188,6.3,656965,390620
2012,Orange - Case,New Haven,P,47,13956,96810,6.9,5802,0.42,11930,0.9,156182,11.2,239,7250,120889,8.7,581590,390123
2012,Oxford,New Haven,P,71,12683,28205,2.2,4048,0.32,3900,0.3,37968,3,434,6900,31948,2.5,241116,188332
2012,Plainfield - Aldrich,Windham,P,162,15405,8134,0.5,1908,0.12,600,0,16103,1,49,1123,15292,1,61218,27365
2012,Plainville,Hartford,P,125,17716,126639,7.1,6560,0.37,8014,0.5,167754,9.5,292,10294,95529,5.4,612513,398847
2012,Plymouth - Terryville,Litchfield,P,145,12243,85000,6.9,4098,0.33,6517,0.5,64739,5.3,449,4839,63540,5.2,449109,254426
2012,Pomfret,Windham,P,118,4247,11831,2.8,1979,0.47,1045,0.2,18304,4.3,257,1756,19462,4.6,81549,52500
2012,Portland,Middlesex,P,105,9508,86280,9.1,4117,0.43,7759,0.8,150520,15.8,300,6218,73142,7.7,599293,442244
2012,Preston,New London,P,119,4726,18168,3.8,2281,0.48,472,0.1,44144,9.3,120,1312,34941,7.4,139930,78019
2012,Prospect,New Haven,P,103,9405,30800,3.3,4556,0.48,7900,0.8,59233,6.3,154,2543,45657,4.9,242807,143285
2012,Putnam,Windham,P,147,9584,71648,7.5,5380,0.56,6000,0.6,89222,9.3,448,6090,38945,4.1,418365,226970
2012,Redding - Mark Twain,Fairfield,P,14,9158,74512,8.1,5369,0.59,3458,0.4,125428,13.7,272,5420,58067,6.3,676156,364917
2012,Ridgefield,Fairfield,P,,,,,,,,,,,,,,,,
2012,Rocky Hill-Cora Belden,Hartford,P,69,19709,148165,7.5,7941,0.4,20549,1,243972,12.4,460,10180,61369,3.1,883729,683526
2012,Roxbury - Minor,Litchfield,P,7,2262,18517,8.2,1289,0.57,5370,2.4,19128,8.5,101,2186,39289,17.4,279583,116567
2012,Salem,New London,P,92,6778,34000,5,3440,0.51,560,0.1,57198,8.4,356,5114,31986,4.7,233125,93810
2012,Salisbury - Scoville,Litchfield,P,12,3741,49107,13.1,2729,0.73,8332,2.2,75342,20.1,255,5510,37205,9.9,423579,218838
2012,Scotland,Windham,P,138,1726,10341,6,956,0.55,83,0,25683,14.9,194,1570,15955,9.2,50118,32691
2012,Seymour,New Haven,P,120,16540,145070,8.8,13322,0.81,5912,0.4,86140,5.2,136,3985,81475,4.9,626880,253625
2012,Sharon - Hotchkiss,Litchfield,P,10,2782,22000,7.9,1678,0.6,1700,0.6,15557,5.6,178,3295,11426,4.1,245442,94050
2012,Shelton - Plumb,Fairfield,P,56,39559,178000,4.5,15136,0.38,8450,0.2,277051,7,1084,19199,151246,3.8,1114486,785196
2012,Sherman,Fairfield,P,24,3581,29000,8.1,2162,0.6,2400,0.7,37755,10.5,219,3678,27924,7.8,210072,107982
2012,Simsbury,Hartford,P,48,23511,249750,10.6,14149,0.6,55306,2.4,477650,20.3,1117,34556,152592,6.5,1367831,952496
2012,Somers,Tolland,P,133,11444,71231,6.2,4299,0.38,4800,0.4,90820,7.9,215,4177,61090,5.3,435291,264524
2012,South Windsor,Hartford,P,73,25709,223867,8.7,11999,0.47,14666,0.6,284824,11.1,507,9012,142839,5.6,1528421,749348
2012,Southbury,New Haven,P,51,19904,186737,9.4,9937,0.5,7705,0.4,343920,17.3,548,13245,106080,5.3,739912,439627
2012,Southington,Hartford,P,102,43069,306540,7.1,19258,0.45,129673,3,380892,8.8,360,13749,130334,3,1336340,947997
2012,Sprague,New London,P,152,2984,4631,1.6,1450,0.49,783,0.3,8852,3,78,1780,10859,3.6,65548,50404
2012,Stafford,Tolland,P,142,12087,73272,6.1,5498,0.45,3231,0.3,80860,6.7,506,5016,54483,4.5,547817,312840
2012,Stamford - Ferguson,Fairfield,P,26,122643,756883,6.2,51135,0.42,144652,1.2,1016331,8.3,1561,48331,509836,4.2,8115885,4553038
2012,Sterling,Windham,P,141,3830,6944,1.8,1225,0.32,915,0.2,38363,10,82,646,29312,7.7,76050,43575
2012,Stonington,New London,P,42,18545,39465,2.1,5219,0.28,4165,0.2,57274,3.1,270,7318,37588,2,376634,221366
2012,Stratford,Fairfield,P,88,51384,245054,4.8,24571,0.48,60215,1.2,471610,9.2,1216,29748,170167,3.3,2940592,1721177
2012,Suffield - Kent,Hartford,P,100,15735,86971,5.5,8811,0.56,3288,0.2,87182,5.5,156,3729,72510,4.6,503258,318071
2012,Thomaston,Litchfield,P,127,7887,75000,9.5,3244,0.41,6325,0.8,81289,10.3,477,8356,46184,5.9,330348,202877
2012,Thompson,Windham,P,146,9458,60187,6.4,5732,0.61,11676,1.2,77643,8.2,396,7011,54256,5.7,374068,264232
2012,Tolland,Tolland,P,90,15052,70000,4.7,6436,0.43,7406,0.5,113844,7.6,198,3535,61749,4.1,393127,327165
2012,Torrington,Litchfield,P,151,36383,81024,2.2,11368,0.31,3120,0.1,105399,2.9,363,7895,53934,1.5,638773,374793
2012,Trumbull,Fairfield,P,39,36018,282709,7.8,18743,0.52,19657,0.5,493464,13.7,684,13033,174970,4.9,1775777,1182564
2012,Union,Tolland,P,75,854,8800,10.3,564,0.66,35,0,5038,5.9,133,1733,12273,14.4,31977,14605
2012,Vernon - Rockville,Tolland,P,154,29179,133517,4.6,14765,0.51,3793,0.1,126636,4.3,190,7116,78995,2.7,1048520,495463
2012,Voluntown,New London,P,129,2603,7847,3,2056,0.79,27,0,20879,8,89,670,19919,7.7,72880,39259
2012,Wallingford,New Haven,P,86,45135,499200,11.1,24612,0.55,85000,1.9,700779,15.5,765,27796,247694,5.5,2833907,1531058
2012,Warren,Litchfield,P,17,1461,3661,2.5,434,0.3,45,0,14758,10.1,104,1233,10686,7.3,61869,31557
2012,Washington - Gunn,Litchfield,P,8,3578,41035,11.5,2540,0.71,7696,2.2,63607,17.8,175,5462,48364,13.5,582441,202305
2012,Waterbury - Silas Bron.,New Haven,P,165,110366,257152,2.3,23222,0.21,19079,0.2,222158,2,185,3593,254505,2.3,2239833,1499727
2012,Waterford,New London,P,40,19517,194335,10,9025,0.46,31175,1.6,231572,11.9,363,7098,84168,4.3,1400964,893565
2012,Watertown,Litchfield,P,109,22514,66602,3,11517,0.51,42362,1.9,69063,3.1,91,2497,82898,3.7,754681,399716
2012,West Hartford,Hartford,P,89,63268,536902,8.5,27040,0.43,73143,1.2,812179,12.8,1104,32029,240948,3.8,3050843,2419711
2012,West Haven,New Haven,P,161,55564,116272,2.1,17475,0.31,23130,0.4,167125,3,408,3578,121815,2.2,1635427,836257
2012,Westbrook,Middlesex,P,31,6938,45000,6.5,4048,0.58,12825,1.8,49036,7.1,472,7069,50627,7.3,369726,224661
2012,Weston,Fairfield,P,5,10179,61147,6,7032,0.69,7852,0.8,50502,5,283,3988,50045,4.9,409432,264270
2012,Westport,Fairfield,P,4,26391,473212,17.9,17806,0.67,214060,8.1,867566,32.9,1498,54887,203609,7.7,5106171,3105586
2012,Wethersfield,Hartford,P,87,26668,195422,7.3,12919,0.48,56420,2.1,389504,14.6,568,15627,107334,4,1697962,1057859
2012,Willington,Tolland,P,113,6041,30420,5,5081,0.84,20540,3.4,45887,7.6,45,3211,40022,6.6,170018,94688
2012,Wilton,Fairfield,P,6,18062,275046,15.2,10745,0.59,41527,2.3,335531,18.6,953,30781,136211,7.5,3268964,1570281
2012,Winchester - Beardsley,Litchfield,N,140,16526,25049,1.5,5551,0.34,1687,0.1,63716,3.9,269,2630,54485,3.3,323795,154908
2012,Windham - Guilford Sm,Windham,P,166,,6520,0.3,355,0.01,546,0,7310,0.3,69,1066,10350,0.4,62875,27500
2012,Windham - Willimantic,Windham,N,166,25268,140000,5.5,10394,0.41,1300,0.1,47954,1.9,117,1957,51294,2,727252,428000
2012,Windham - Windham Free,Windham,P,166,,8500,0.3,773,0.03,725,0,9240,0.4,75,2020,7787,0.3,79651,24142
2012,Windsor,Hartford,P,83,29044,256521,8.8,14559,0.5,67622,2.3,307693,10.6,782,15311,157283,5.4,1544175,823250
2012,Windsor Locks,Hartford,P,96,12498,55000,4.4,5120,0.41,6000,0.5,88410,7.1,192,1968,57951,4.6,454760,267042
2012,Wolcott,New Haven,P,121,16680,58862,3.5,6071,0.36,3137,0.2,80800,4.8,156,2553,61050,3.7,507693,280467
2012,Woodbridge,New Haven,P,25,8990,46000,5.1,5025,0.56,7829,0.9,189048,21,481,8294,84495,9.4,794433,511347
2012,Woodbury,Litchfield,P,38,9975,66000,6.6,5262,0.53,7300,0.7,134106,13.4,605,12532,97677,9.8,632071,423790
2012,Woodstock - Bracken,Windham,N,111,7964,5910,0.7,1271,0.16,2900,0.4,6005,0.8,25,354,18476,2.3,11962,4676
2012,Woodstock - May,Windham,N,111,,2300,0.3,545,0.07,55,0,3951,0.5,24,234,9694,1.2,23404,6744
2012,Woodstock - North,Windham,N,111,,1216,0.2,345,0.04,18,0,6493,0.8,,,12104,1.5,19573,6233
2012,Woodstock - West,Windham,N,111,,3278,0.4,1042,0.13,15,0,5898,0.7,66,526,9020,1.1,21394,6760
2013,Andover,Tolland,P,102,3272,12349,3.8,3222,0.98,1266,0.4,23724,7.3,143,1823,21393,6.5,112910,63503
2013,Ansonia,New Haven,P,161,19158,89000,4.6,11076,0.58,16400,0.9,110145,5.7,775,6609,94129,4.9,515937,392125
2013,Ashford-Babcock,Windham,P,130,4284,14918,3.5,2851,0.67,2258,0.5,34643,8.1,265,4822,29620,6.9,175406,122656
2013,Avon,Hartford,P,21,18283,146500,8,8738,0.48,20737,1.1,298495,16.3,472,13700,101860,5.6,1491345,766483
2013,Beacon Falls,New Haven,P,122,6065,15805,2.6,2203,0.36,2030,0.3,31512,5.2,267,3702,18086,3,270658,119244
2013,Berlin - East Berlin,Hartford,N,76,,1200,0.1,251,0.01,101,0,1775,0.1,,,8304,0.4,6641,4147
2013,Berlin Free,Hartford,N,76,,3316,0.2,819,0.04,23,0,7807,0.4,401,3073,23060,1.1,40912,18000
2013,Berlin-Peck,Hartford,P,76,20463,118168,5.8,7273,0.36,15648,0.8,189872,9.3,501,7526,99555,4.9,1005599,611980
2013,Bethany - Clark,New Haven,P,58,5550,10445,1.9,3433,0.62,721,0.1,11759,2.1,88,1559,41287,7.4,167574,93963
2013,Bethel,Fairfield,P,61,19161,127782,6.7,13575,0.71,19487,1,147849,7.7,155,4098,120430,6.3,757506,555905
2013,Bethlehem,Litchfield,P,66,3566,11309,3.2,2519,0.71,2130,0.6,22516,6.3,81,969,17460,4.9,125869,86700
2013,Bloomfield - Prosser,Hartford,P,75,20602,112886,5.5,8674,0.42,20801,1,218901,10.6,869,15912,129274,6.3,2154741,1161915
2013,Bolton - Bentley,Tolland,P,90,4960,49550,10,1940,0.39,2942,0.6,44077,8.9,34,619,47145,9.5,243206,181101
2013,Branford - Blackstone,New Haven,P,49,28024,207312,7.4,10416,0.37,77105,2.8,201185,7.2,565,20430,85721,3.1,1385482,732031
2013,Branford - Willoughby,New Haven,N,49,,13970,0.5,2438,0.09,1200,0,21681,0.8,288,11300,20887,0.7,239873,159571
2013,Bridgeport,Fairfield,P,165,146425,429228,2.9,35040,0.24,115847,0.8,472352,3.2,744,11309,363640,2.5,6893768,2967289
2013,Bridgewater - Burnham,Litchfield,P,19,1702,20625,12.1,970,0.57,875,0.5,20027,11.8,260,2995,31911,18.7,122976,76494
2013,Bristol,Hartford,P,137,60603,350000,5.8,18627,0.31,26953,0.4,311701,5.1,1331,35078,214288,3.5,2153624,1480348
2013,Brookfield,Fairfield,P,34,16783,99270,5.9,10924,0.65,3753,0.2,152680,9.1,451,9959,65180,3.9,614544,449369
2013,Brooklyn,Windham,P,158,8203,11054,1.3,3297,0.4,924,0.1,15158,1.8,132,1255,24272,3,119741,73163
2013,Burlington,Hartford,P,57,9434,44741,4.7,4141,0.44,2947,0.3,74982,7.9,360,4757,56307,6,331621,194404
2013,Canaan - David Hunt,Litchfield,P,27,1218,19623,16.1,919,0.75,1537,1.3,15672,12.9,306,3925,20385,16.7,142456,65427
2013,Canterbury,Windham,P,141,5106,36295,7.1,2507,0.49,1389,0.3,45125,8.8,182,2904,20670,4,126385,94151
2013,Canton,Hartford,P,55,10351,101109,9.8,4117,0.4,16208,1.6,168939,16.3,292,7581,86104,8.3,584453,426260
2013,Chaplin,Windham,P,145,2286,7078,3.1,1550,0.68,936,0.4,8271,3.6,66,991,17084,7.5,73707,32238
2013,Cheshire,New Haven,P,65,29300,170295,5.8,11137,0.38,33813,1.2,424041,14.5,502,12512,124576,4.3,1620733,1267130
2013,Chester,Middlesex,P,48,4245,16416,3.9,1637,0.39,1903,0.4,28300,6.7,103,1486,19471,4.6,130678,91821
2013,Clinton - Henry C. Hull,Middlesex,P,74,13196,110404,8.4,9052,0.69,45800,3.5,269320,20.4,320,6383,85095,6.4,871089,526093
2013,Colchester - Cragin,New London,P,118,16187,93604,5.8,8640,0.53,10353,0.6,136662,8.4,516,8954,64985,4,581814,353424
2013,Columbia - S.B. Little,Tolland,P,86,5461,32992,6,3238,0.59,,,65144,11.9,175,2864,57142,10.5,345722,193824
2013,Cornwall,Litchfield,P,11,1399,16328,11.7,829,0.59,884,0.6,22013,15.7,171,1855,29185,20.9,164924,74828
2013,Coventry - Booth Dim,Tolland,P,116,12425,39659,3.2,7959,0.64,4717,0.4,106247,8.6,259,4091,54977,4.4,425862,235473
2013,Cromwell,Middlesex,P,83,14217,112980,7.9,5088,0.36,6359,0.4,101622,7.1,226,4149,80969,5.7,544148,425886
2013,Danbury,Fairfield,P,117,82807,383500,4.6,24311,0.29,80141,1,566325,6.8,682,13312,123620,1.5,2150595,1623192
2013,Darien,Fairfield,P,4,21114,410820,19.5,18888,0.89,86734,4.1,713539,33.8,1536,43551,136075,6.4,4408478,2009127
2013,Deep River,Middlesex,P,54,4603,32000,7,3030,0.66,2880,0.6,56250,12.2,156,1400,39307,8.5,236809,103417
2013,Derby,New Haven,P,138,12830,98200,7.7,7651,0.6,7650,0.6,64905,5.1,492,9410,74482,5.8,469396,291772
2013,Derby - Derby Neck,New Haven,N,138,,56929,4.4,1596,0.12,7168,0.6,58308,4.5,756,22063,60856,4.7,497583,251935
2013,Durham,Middlesex,P,77,7368,72416,9.8,3852,0.5,4004,0.5,181132,24.6,321,4796,63405,8.6,514629,339308
2013,East Granby,Hartford,P,63,5184,54673,10.5,4108,0.79,3359,0.6,50372,9.7,306,4065,39653,7.6,285262,149684
2013,East Haddam,Middlesex,P,81,9158,24311,2.7,3216,0.35,300,0,21199,2.3,235,3050,21820,2.4,143900,88625
2013,East Haddam - Rathbun,Middlesex,N,81,,16818,1.8,1793,0.2,605,0.1,29041,3.2,142,1956,25115,2.7,190339,111379
2013,East Hampton,Middlesex,P,125,12940,124995,9.7,7333,0.57,9332,0.7,141451,10.9,445,13031,74477,5.8,438736,251311
2013,East Hartford,Hartford,P,153,51272,82700,1.6,11712,0.23,8829,0.2,133522,2.6,481,10646,198951,3.9,1170440,825476
2013,East Haven - Hagaman,New Haven,P,139,29190,119200,4.1,9495,0.33,11528,0.4,125973,4.3,413,7892,70832,2.4,823946,411624
2013,East Lyme,New London,P,64,18892,96379,5.1,12694,0.67,6757,0.4,176855,9.4,577,3548,146712,7.8,1081478,618047
2013,East Windsor - Warehouse,Hartford,P,104,11387,37627,3.3,2807,0.25,17914,1.6,45978,4,108,1971,39926,3.5,346944,184142
2013,Eastford,Windham,P,112,1730,4636,2.7,825,0.48,140,0.1,5992,3.5,38,574,18055,10.4,45698,28517
2013,Easton,Fairfield,P,16,7603,59854,7.9,3230,0.42,9602,1.3,90144,11.9,334,4954,76670,10.1,587592,329035
2013,Ellington - Hall,Tolland,P,106,15779,99914,6.3,11386,0.72,3288,0.2,144866,9.2,242,5417,63138,4,733491,432655
2013,Enfield,Hartford,P,146,44660,259522,5.8,19068,0.43,30133,0.7,329089,7.4,324,21006,138988,3.1,1629654,1027928
2013,Essex,Middlesex,P,23,6648,62634,9.4,2530,0.38,4750,0.7,71673,10.8,350,7471,43956,6.6,527726,280636
2013,Essex - Ivoryton,Middlesex,N,,,,,,,,,,,,,,,,
2013,Fairfield,Fairfield,P,20,60450,539966,8.9,30857,0.51,100899,1.7,932080,15.4,1620,37168,317627,5.3,4431922,2374387
2013,Fairfield - Pequot,Fairfield,N,20,,114400,1.9,1658,0.03,9152,0.2,41169,0.7,533,18700,133559,2.2,1061225,594318
2013,Farmington,Hartford,P,31,25529,204241,8,19283,0.76,42095,1.6,433259,17,1234,26695,201241,7.9,2480301,1349997
2013,Franklin - Janet Carlson,New London,P,85,1991,6354,3.2,1886,0.95,180,0.1,12869,6.5,246,2681,30466,15.3,62028,39357
2013,Glastonbury - East,Hartford,N,35,,4000,0.1,300,0.01,,,7030,0.2,2,20,13846,0.4,17964,
2013,Glastonbury - Welles-T.,Hartford,P,35,34698,368534,10.6,17291,0.5,16588,0.5,470070,13.5,662,13429,154191,4.4,1764393,854720
2013,Goshen,Litchfield,P,30,2952,12991,4.4,2750,0.93,280,0.1,24936,8.4,168,1375,31345,10.6,141687,102246
2013,Granby,Hartford,P,72,11316,63665,5.6,7754,0.69,14177,1.3,132215,11.7,270,3721,71388,6.3,462804,343145
2013,Greenwich,Fairfield,P,1,62256,723763,11.6,34356,0.55,183394,2.9,1399315,22.5,1561,52909,445961,7.2,9814752,5653835
2013,Greenwich - Perrot,Fairfield,N,1,,191569,12.8,6287,0.42,40988,2.7,248371,16.6,421,13147,71442,4.8,1611529,1059531
2013,Griswold - Slater,New London,P,148,16341,34212,2.1,5603,0.34,2600,0.2,35301,2.2,71,1839,25537,1.6,120581,80569
2013,Groton,New London,P,107,39896,225558,5.7,19017,0.48,33852,0.8,354918,8.9,605,18782,148025,3.7,1691975,1391001
2013,Groton - Bill,New London,N,107,10000,24000,2.4,1594,0.16,1300,0.1,25100,2.5,87,1650,20504,2.1,215985,123134
2013,Groton - Mystic,New London,N,107,,83500,6.2,2975,0.22,1700,0.1,78714,5.8,474,7058,45998,3.4,516280,254510
2013,Guilford,New Haven,P,33,22403,132160,5.9,15285,0.68,12128,0.5,299561,13.4,3339,30576,107526,4.8,1346031,836492
2013,Haddam - Brainerd,Middlesex,P,67,8358,41491,5,4006,0.48,812,0.1,64788,7.8,181,2615,49306,5.9,406419,237648
2013,Hamden,New Haven,P,127,60863,252876,4.2,22038,0.36,25828,0.4,416576,6.8,316,5622,193492,3.2,1885315,1465738
2013,Hampton - Fletcher,Windham,P,132,1869,3098,1.7,910,0.49,370,0.2,3180,1.7,8,494,16147,8.6,47526,17680
2013,Hartford,Hartford,P,169,124893,833651,6.7,51980,0.42,190873,1.5,559271,4.5,8265,98365,487243,3.9,9908538,4796886
2013,Hartland,Hartford,P,101,2132,1023,0.5,718,0.34,,,1189,0.6,5,120,6548,3.1,7932,
2013,Harwinton,Litchfield,P,69,5600,24287,4.3,2238,0.4,1814,0.3,47454,8.5,212,5669,40275,7.2,183997,139625
2013,Hebron - Douglas,Tolland,P,91,9624,46852,4.9,5855,0.61,3484,0.4,60015,6.2,153,2635,46336,4.8,376227,223754
2013,Kent,Litchfield,P,18,2951,37723,12.8,1268,0.43,632,0.2,39998,13.6,382,5846,28871,9.8,244928,142100
2013,Killingly,Windham,P,155,17269,97591,5.7,6502,0.38,1465,0.1,104596,6.1,534,12194,82803,4.8,723226,429188
2013,Killingworth,Middlesex,P,52,6504,29820,4.6,3097,0.48,1879,0.3,55584,8.5,544,5615,33282,5.1,310753,172015
2013,Lebanon - JonTrumbull,New London,P,110,7326,41600,5.7,2091,0.29,1765,0.2,78446,10.7,153,3141,54513,7.4,279501,139208
2013,Ledyard,New London,P,129,15077,83664,5.5,6573,0.44,7895,0.5,156586,10.4,467,9189,79045,5.2,585878,417860
2013,Litchfield - OWL,Litchfield,P,51,8353,82569,9.9,4068,0.49,6300,0.8,158526,19,386,13201,75023,9,717259,363282
2013,Lyme,New London,P,10,2403,12011,5,1159,0.48,809,0.3,15287,6.4,51,540,26884,11.2,195916,101261
2013,Madison - E.C.Scranton,New Haven,P,25,18291,92984,5.1,11232,0.61,17894,1,228805,12.5,839,12907,116276,6.4,1451315,690309
2013,Manchester,Hartford,P,128,58289,361449,6.2,25822,0.44,58325,1,777936,13.3,969,27449,241879,4.1,2925305,1654225
2013,Mansfield,Tolland,P,147,25648,82293,3.2,8411,0.33,12440,0.5,224930,8.8,299,10922,80993,3.2,785413,495450
2013,Marlborough-Richmond,Hartford,P,62,6433,56068,8.7,2572,0.4,4279,0.7,118938,18.5,195,3797,50074,7.8,359374,206022
2013,Meriden,New Haven,P,159,60638,313893,5.2,21627,0.36,54673,0.9,246213,4.1,1313,15463,256497,4.2,2139074,1568326
2013,Middlebury,New Haven,P,42,7572,53900,7.1,3407,0.45,5778,0.8,87448,11.5,610,9154,64579,8.5,398983,263733
2013,Middlefield - Levi Coe,Middlesex,P,89,4416,12114,2.7,1537,0.35,2626,0.6,28107,6.4,104,1114,22420,5.1,292518,147923
2013,Middletown - Russell,Middlesex,P,121,47325,282955,6,,,30982,0.7,508032,10.7,676,15551,196226,4.1,2915322,2362500
2013,Milford,New Haven,P,99,52981,169983,3.2,31684,0.6,55284,1,278718,5.3,440,16889,151497,2.9,1718682,805991
2013,Monroe - Edith Wheeler,Fairfield,P,45,19794,123292,6.2,12297,0.62,16676,0.8,183370,9.3,512,9927,100903,5.1,749214,464903
2013,Montville - Raymond,New London,P,140,19686,15392,0.8,4295,0.22,210,0,31295,1.6,18,312,18730,1,75887,71733
2013,Morris,Litchfield,P,36,2356,9763,4.1,1063,0.45,642,0.3,14013,5.9,135,1365,14812,6.3,97161,71452
2013,Naugatuck - Howard W.,New Haven,P,157,31774,122133,3.8,9226,0.29,12636,0.4,77419,2.4,499,7965,63435,2,795310,405931
2013,New Britain,Hartford,P,167,73153,295157,4,28287,0.39,69282,0.9,405378,5.5,1197,25948,216768,3,2945661,1462146
2013,New Canaan,Fairfield,P,2,20110,213000,10.6,14861,0.74,60748,3,487765,24.3,815,22173,182745,9.1,3029830,1532251
2013,New Fairfield,Fairfield,P,46,14112,95497,6.8,8534,0.6,4576,0.3,132302,9.4,239,6994,51817,3.7,489947,399269
2013,New Hartford - Bakerville,Litchfield,P,70,,10000,1.4,1379,0.2,300,0,20649,3,36,180,14285,2.1,74252,34071
2013,New Hartford-Licia M.B.,Litchfield,P,70,6903,61000,8.8,2900,0.42,8200,1.2,81885,11.9,148,2349,62712,9.1,312546,157102
2013,New Haven,New Haven,P,166,130741,604331,4.6,45546,0.35,102161,0.8,365088,2.8,2058,45129,472509,3.6,4059958,2494227
2013,New London,New London,P,163,27707,158698,5.7,8166,0.29,15496,0.6,59606,2.2,566,6005,75903,2.7,685184,344355
2013,New Milford,Litchfield,P,68,27835,186068,6.7,10491,0.38,24108,0.9,292188,10.5,728,14779,104526,3.8,1112783,633044
2013,Newington - Lucy Welles,Hartford,P,100,30602,220086,7.2,12016,0.39,63649,2.1,381371,12.5,904,33301,167079,5.5,2406747,1303791
2013,Newtown - Cyr.Booth,Fairfield,P,38,28042,150771,5.4,21675,0.77,6941,0.2,240591,8.6,433,11233,126841,4.5,1437653,786775
2013,Norfolk,Litchfield,P,29,1685,31521,18.7,1511,0.9,2531,1.5,26546,15.8,101,4679,37119,22,425498,196073
2013,North Branford,New Haven,P,93,14379,55700,3.9,6027,0.42,7374,0.5,103861,7.2,374,10478,79056,5.5,592769,376435
2013,North Canaan - Douglas,Litchfield,P,124,3259,16000,4.9,1108,0.34,560,0.2,23438,7.2,194,1908,20089,6.2,117734,80422
2013,North Haven,New Haven,P,53,24033,72696,3,11000,0.46,10452,0.4,174216,7.2,460,7721,110300,4.6,937883,604104
2013,North Stonington-Wheeler,New London,P,80,5303,64010,12.1,2804,0.53,3480,0.7,47759,9,162,4635,21577,4.1,132258,67000
2013,Norwalk,Fairfield,N,39,87190,420528,4.8,32394,0.37,37656,0.4,585596,6.7,1315,32420,267788,3.1,3233191,2434446
2013,Norwalk - Rowayton,Fairfield,P,39,,39420,8.8,2442,0.54,4420,1,53849,12,390,10642,29288,6.5,294835,170209
2013,Norwich - Otis,New London,P,156,40502,156894,3.9,36300,0.9,8515,0.2,152617,3.8,582,11755,86962,2.1,1311845,759827
2013,Old Lyme - Phoebe,New London,P,17,7592,50000,6.6,7057,0.93,3450,0.5,68081,9,439,7570,47180,6.2,618571,333096
2013,Old Saybrook - Acton,Middlesex,P,22,10238,131441,12.8,6386,0.62,5926,0.6,149435,14.6,374,6962,67579,6.6,723399,409524
2013,Orange - Case,New Haven,P,44,13935,96537,6.9,4593,0.33,13797,1,155279,11.1,269,8249,123990,8.9,625142,395066
2013,Oxford,New Haven,P,71,12819,27644,2.2,4141,0.32,3700,0.3,44134,3.4,474,6654,31833,2.5,246548,187981
