Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Collection,Collection Per Capita Served,Total Operating Income,Wages & Salaries Expenditures
1997,Milford,New Haven,P,75,49011,,,18630,0.38,44106,0.9,250590,5.1,26,7070,147635,3,710446,519158
1997,Monroe - Edith Wheeler,Fairfield,P,56,17953,127821,7.1,10277,0.57,17364,1,150608,8.4,224,5418,69789,3.9,385479,252392
1997,Montville - Raymond,New London,P,125,16518,17784,1.1,9370,0.57,2651,0.2,41402,2.5,5,,24078,1.5,56236,34197
1997,Morris,Litchfield,P,52,2201,15000,6.8,1050,0.48,653,0.3,26842,12.2,54,950,15079,6.9,64190,42762
1997,Naugatuck - Howard W.,New Haven,P,149,31164,192893,6.2,11564,0.37,15246,0.5,103774,3.3,270,8761,60511,1.9,662215,270273
1997,New Britain,Hartford,P,167,71868,251181,3.5,23898,0.33,53560,0.7,331901,4.6,953,22666,259498,3.6,2287503,1328574
1997,New Canaan,Fairfield,P,3,18754,348840,18.6,17757,0.95,37269,2,359202,19.2,947,26206,147843,7.9,1383386,798044
1997,New Fairfield,Fairfield,P,49,13335,113880,8.5,10874,0.82,,,156280,11.7,236,6241,47806,3.6,325513,219104
1997,New Hartford-Bakerville,Litchfield,N,82,,7200,1.2,750,0.12,175,0,14326,2.3,37,370,10558,1.7,,
1997,New Hartford-Licia M.B.,Litchfield,P,82,6178,,,3158,0.51,,,45247,7.3,111,2200,26712,4.3,369943,152149
1997,New Haven,New Haven,P,165,123893,146000,1.2,25970,0.21,152675,1.2,179535,1.4,810,17763,626352,5.1,3092050,1946314
1997,New London,New London,P,164,26893,297582,11.1,21740,0.81,28600,1.1,140251,5.2,399,7815,87466,3.3,566395,262950
1997,New Milford,Litchfield,P,59,25561,245986,9.6,11635,0.46,18875,0.7,231501,9.1,514,9493,93121,3.6,841988,427987
1997,Newington - LucyWelles,Hartford,P,89,27865,307710,11,12224,0.44,46770,1.7,421666,15.1,511,20315,108954,3.9,1061952,715040
1997,Norfolk,Litchfield,P,55,2145,,,,,,,,,138,,26787,12.5,167563,77516
1997,North Branford,New Haven,P,103,13083,50500,3.9,8372,0.64,5110,0.4,130227,10,224,,60972,4.7,403043,236488
1997,North Canaan - Douglas,Litchfield,P,108,3049,,,3358,1.1,438,0.1,15624,5.1,2,30,19188,6.3,48504,25707
1997,North Haven,New Haven,P,38,20902,77064,3.7,18844,0.9,7018,0.3,136879,6.5,73,2992,101505,4.9,580185,381269
1997,North Stonington-Wheeler,New London,P,96,4850,53700,11.1,2127,0.44,2720,0.6,42699,8.8,132,3570,34463,7.1,86129,42603
1997,Norwalk,Fairfield,P,44,79732,327600,4.1,72938,0.91,72020,0.9,521241,6.5,266,4826,280956,3.5,2560903,1652719
1997,"Norwalk, Rowayton",Fairfield,N,44,,,,4773,0.06,,,25700,0.3,82,1682,33150,0.4,117275,74281
1997,Norwich - Otis,New London,P,159,37479,127000,3.4,20765,0.55,18988,0.5,208907,5.6,98,2270,93880,2.5,818212,498174
1997,Old Lyme - Phoebe,New London,P,24,6681,58084,8.7,4117,0.62,3096,0.5,104258,15.6,311,3608,35189,5.3,256038,165268
1997,Old Saybrook - Acton,Middlesex,P,26,9501,135083,14.2,5067,0.53,5050,0.5,165264,17.4,152,7557,56132,5.9,330730,180685
1997,Orange - Case,New Haven,P,28,12456,47632,3.8,9714,0.78,7348,0.6,126435,10.2,37,624,72503,5.8,323768,172271
1997,Oxford,New Haven,P,87,9378,27000,2.9,8300,0.89,4000,0.4,46000,4.9,22,635,35375,3.8,151671,160000
1997,Plainfield - Aldrich,Windham,P,163,14557,10905,0.7,3202,0.22,3747,0.3,23551,1.6,36,1638,29399,2,46100,27247
1997,Plainville,Hartford,P,119,17044,100848,5.9,7417,0.44,10664,0.6,184551,10.8,400,12698,89764,5.3,439877,270698
1997,Plymouth - Terryville,Litchfield,P,144,11372,,,4046,0.36,4570,0.4,58749,5.2,305,3925,47236,4.2,316564,166158
1997,"Plymouth, Library Assn.",Litchfield,N,144,,4056,0.4,200,0.02,130,0,2101,0.2,2,7,9590,0.8,22840,12000
1997,Pomfret,Windham,P,105,3350,5720,1.7,1697,0.51,419,0.1,27696,8.3,44,436,23725,7.1,41443,16490
1997,Portland,Middlesex,P,93,8625,101238,11.7,5667,0.66,5167,0.6,177866,20.6,183,3911,69481,8.1,492061,305034
1997,Preston,New London,P,147,4934,18940,3.8,2167,0.44,1248,0.3,20914,4.2,106,1132,18775,3.8,90913,48613
1997,Prospect,New Haven,P,113,8131,21300,2.6,5800,0.71,2500,0.3,61839,7.6,17,472,31678,3.9,202349,115762
1997,Putnam,Windham,P,155,8846,24975,2.8,7172,0.81,8684,1,69136,7.8,43,555,40875,4.6,256254,141153
1997,Redding - Mark Twain,Fairfield,P,8,8169,42068,5.1,7900,0.97,1501,0.2,68106,8.3,166,2482,38969,4.8,325471,156457
1997,Ridgefield,Fairfield,P,10,21798,303117,13.9,12590,0.58,20464,0.9,281195,12.9,631,21085,94795,4.3,1107667,578745
1997,Rocky Hill-Cora Belden,Hartford,P,69,17034,160378,9.4,8147,0.48,15722,0.9,194809,11.4,291,9114,73771,4.3,629615,441341
1997,Roxbury - Minor,Litchfield,P,16,1951,,,2219,1.14,4136,2.1,35145,18,332,,43486,22.3,85677,51295
1997,Salem,New London,P,111,3579,,,2952,0.82,150,0,25426,7.1,36,973,13299,3.7,42807,27086
1997,Salisbury - Scoville,Litchfield,P,15,4036,40000,9.9,2309,0.57,2785,0.7,44035,10.9,100,1730,29041,7.2,242364,125460
1997,Scotland,Windham,P,137,1364,2157,1.6,514,0.38,78,0.1,3424,2.5,4,21,9461,6.9,10708,6794
1997,Seymour,New Haven,P,117,14310,51320,3.6,8247,0.58,2941,0.2,81184,5.7,54,718,46379,3.2,347564,185253
1997,Sharon - Hotchkiss,Litchfield,P,19,2928,8000,2.7,2708,0.92,,,24959,8.5,40,400,24176,8.3,99865,49254
1997,Shelton - Plumb,Fairfield,P,58,35981,111990,3.1,15284,0.42,15190,0.4,249821,6.9,391,8119,144536,4,732871,490875
1997,Sherman,Fairfield,P,14,3060,30100,9.8,1655,0.54,507,0.2,39612,12.9,146,1163,21017,6.9,96386,45621
1997,Simsbury,Hartford,P,35,21956,274954,12.5,15019,0.68,40422,1.8,399485,18.2,395,11586,136994,6.2,806627,526585
1997,Somers,Tolland,P,116,9724,67950,7,3834,0.39,7000,0.7,84657,8.7,149,3065,40791,4.2,275486,146238
1997,South Windsor,Hartford,P,66,22385,,,11172,0.5,6588,0.3,140596,6.3,113,3455,97872,4.4,763276,408220
1997,"South Windsor, Wood",Hartford,N,66,,7141,0.3,,,113,0,4918,0.2,,3056,13089,0.6,43707,26801
1997,Southbury,New Haven,P,42,15658,208572,13.3,9035,0.58,16484,1.1,208663,13.3,190,5537,77043,4.9,451191,259141
1997,Southington,Hartford,P,79,38411,297980,7.8,19055,0.5,77261,2,300460,7.8,,10722,147571,3.8,805956,536903
1997,Sprague,New London,P,148,2975,5509,1.9,2158,0.73,416,0.1,8380,2.8,1,35,14724,4.9,16761,5700
1997,Stafford,Tolland,P,143,11715,,,6147,0.52,,,40272,3.4,,,32905,2.8,168817,106000
1997,Stamford - Ferguson,Fairfield,P,25,111621,630000,5.6,62300,0.56,238569,2.1,825544,7.4,674,25021,422137,3.8,5600688,3070796
1997,Sterling,Windham,P,139,2680,8970,3.3,1369,0.51,1041,0.4,32199,12,20,675,14806,5.5,43537,17636
1997,Stonington,New London,P,57,16230,,,3925,0.24,1200,0.1,48748,3,361,7084,24748,1.5,148630,87050
1997,Stratford,Fairfield,P,91,46843,201783,4.3,40044,0.85,93204,2,290065,6.2,2446,48387,145717,3.1,2020019,1103618
1997,Suffield - Kent,Hartford,P,62,11153,105515,9.5,5448,0.49,7000,0.6,126695,11.4,189,4259,74921,6.7,363729,189165
1997,Thomaston,Litchfield,P,115,7316,65000,8.9,2890,0.4,5000,0.7,96676,13.2,250,6000,53021,7.2,251572,139914
1997,Thompson,Windham,P,157,8727,44449,5.1,5604,0.64,2375,0.3,72489,8.3,217,2030,38759,4.4,207785,127288
1997,Tolland,Tolland,P,99,11601,86166,7.4,8974,0.77,23008,2,109944,9.5,143,1473,43234,3.7,230936,147274
1997,Torrington,Litchfield,P,141,34051,33020,1,9251,0.27,,,93155,2.7,103,1697,62696,1.8,283568,156362
1997,Trumbull,Fairfield,P,36,31410,248878,7.9,26544,0.85,28333,0.9,337555,10.7,368,5717,149819,4.8,983884,666062
1997,Union,Tolland,P,94,632,3700,5.9,148,0.23,30,0,4656,7.4,1,13,12825,20.3,25682,8681
1997,Vernon - Rockville,Tolland,P,124,29434,83161,2.8,7994,0.27,7828,0.3,121781,4.1,147,3926,45303,1.5,572649,253572
1997,Voluntown,New London,P,146,2258,1300,0.6,350,0.16,22,0,2688,1.2,2,15,5040,2.2,13202,5498
1997,Wallingford,New Haven,P,98,41348,,,,,,,,,375,15941,187024,4.5,1583211,885877
1997,Warren,Litchfield,P,23,1266,5000,3.9,500,0.39,95,0.1,7474,5.9,50,427,11809,9.3,21679,10259
1997,Washington - Gunn,Litchfield,P,20,4087,17680,4.3,3094,0.76,4560,1.1,41507,10.2,119,1990,33521,8.2,251589,98020
1997,Waterbury - Silas Bron.,New Haven,P,162,106753,319225,3,45303,0.42,83923,0.8,210723,2,362,15791,406285,3.8,2108235,1461031
