,Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Collection,Collection Per Capita Served,Total Operating Income,Wages & Salaries Expenditures,Population Bin
184,1997,Beacon Falls,New Haven,P,121.0,5368.0,8000.0,1.5,1517.0,0.28,550.0,0.1,9532.0,1.8,44.0,460.0,6800.0,1.3,54202.0,26969.0,"(483.934, 15438.6]"
185,1997,Berlin-Peck,Hartford,P,48.0,16795.0,109388.0,6.5,6975.0,0.42,6490.0,0.4,227840.0,13.6,390.0,9304.0,92443.0,5.5,651974.0,340727.0,"(15438.6, 30245.2]"
186,1997,Bethany - Clark,New Haven,P,53.0,4878.0,19700.0,4.0,3217.0,0.66,650.0,0.1,50448.0,10.3,46.0,405.0,33706.0,6.9,70444.0,32297.0,"(483.934, 15438.6]"
187,1997,Bethel,Fairfield,P,71.0,18101.0,155261.0,8.6,12369.0,0.68,16731.0,0.9,145882.0,8.1,172.0,4864.0,85714.0,4.7,446832.0,252429.0,"(15438.6, 30245.2]"
188,1997,Bethlehem,Litchfield,P,65.0,3397.0,17478.0,5.1,2379.0,0.7,2286.0,0.7,32686.0,9.6,45.0,790.0,23210.0,6.8,69847.0,38830.0,"(483.934, 15438.6]"
189,1997,Bloomfield - Prosser,Hartford,P,61.0,18477.0,108243.81620957839,5.409180655736961,9037.0,0.49,18844.0,1.0,217113.0,11.8,586.0,11788.0,119763.0,6.5,802922.0,599947.0,"(15438.6, 30245.2]"
190,1997,Bolton - Bentley,Tolland,P,90.0,4665.0,20800.0,4.5,3829.0,0.82,702.0,0.2,41972.0,9.0,97.0,1411.0,35230.0,7.6,144856.0,96563.0,"(483.934, 15438.6]"
191,1997,Branford - Blackstone,New Haven,P,50.0,28123.0,86500.0,3.1,24111.0,0.86,56270.0,2.0,172722.0,6.1,400.0,5928.0,84499.0,3.0,661421.0,404943.0,"(15438.6, 30245.2]"
192,1997,Branford - Willoughby,New Haven,N,50.0,21222.776174062903,17000.0,0.6,1563.0,0.06,5000.0,0.2,45294.0,1.6,35.0,6660.0,23575.0,0.8,125013.0,72630.0,"(15438.6, 30245.2]"
193,1997,Bridgeport,Fairfield,P,168.0,136954.0,371570.0,2.7,37284.0,0.27,199258.0,1.5,411044.0,3.0,569.0,9921.0,511123.0,3.7,3340860.0,2203050.0,"(133891.4, 148698.0]"
194,1997,Bridgewater - Burnham,Litchfield,P,21.0,1729.0,15416.0,8.9,1025.0,0.59,20040.20407729879,0.7465547060014956,21333.0,12.3,4993.0,300.0,28360.0,16.4,82614.0,50853.0,"(483.934, 15438.6]"
195,1997,Bristol,Hartford,P,134.0,59509.0,229075.0,3.8,20259.0,0.34,20171.0,0.3,337870.0,5.7,672.0,17043.0,141437.0,2.4,1213865.0,805677.0,"(45051.8, 59858.4]"
196,1997,Brookfield,Fairfield,P,34.0,14820.0,114349.0,7.7,10736.0,0.72,13532.0,0.9,159765.0,10.8,201.0,7018.0,60042.0,4.1,380967.0,225931.0,"(483.934, 15438.6]"
197,1997,Brooklyn,Windham,P,151.0,6802.0,14560.0,2.1,2838.0,0.42,1872.0,0.3,28494.0,4.2,30.0,495.0,19496.0,2.9,76085.0,31803.0,"(483.934, 15438.6]"
198,1997,Burlington,Hartford,P,73.0,7657.0,29000.0,3.8,3642.0,0.48,893.0,0.1,46130.0,6.0,65.0,1516.0,29647.0,3.9,122454.0,78932.0,"(483.934, 15438.6]"
199,1997,Canaan - David Hunt,Litchfield,P,39.0,1325.0,14612.0,11.0,666.0,0.5,20040.20407729879,0.7465547060014956,16002.0,12.1,140.0,2054.0,25853.0,19.5,67894.0,29451.0,"(483.934, 15438.6]"
200,1997,Canterbury,Windham,P,154.0,4677.0,5229.0,1.1,1281.0,0.27,20040.20407729879,0.7465547060014956,15034.0,3.2,412.53696576868543,9126.116605616606,13024.0,2.8,34694.0,16650.0,"(483.934, 15438.6]"
201,1997,Canton,Hartford,P,67.0,8496.0,23660.0,2.8,7700.0,0.91,20040.20407729879,0.7465547060014956,35800.0,4.2,412.53696576868543,9126.116605616606,46788.0,5.5,224667.0,121928.0,"(483.934, 15438.6]"
